Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,43.799999,43.799999,41.259998,41.590000,32.331013,99528500
2005-02-01,41.470001,45.250000,40.070000,45.000000,34.981880,99066200
2005-03-01,44.520000,46.639999,41.410000,42.250000,32.844105,97975400
2005-04-01,42.000000,42.599998,36.270000,37.970001,29.582672,100735400
2005-05-01,37.849998,38.889999,34.900002,37.240002,29.013916,95561700
2005-06-01,37.299999,40.340000,36.380001,39.029999,30.492058,102910800
2005-07-01,38.950001,39.250000,36.549999,37.549999,29.335812,81593900
2005-08-01,37.910000,41.689999,37.430000,39.580002,30.921743,97607600
2005-09-01,40.250000,48.200001,40.200001,47.169998,36.851398,146495000
2005-10-01,46.520000,47.900002,42.580002,42.599998,33.362621,122062300
2005-11-01,42.730000,48.000000,42.080002,46.119999,36.119350,110718200
2005-12-01,46.849998,53.930000,46.220001,53.400002,41.908669,167632200
2006-01-01,54.099998,62.720001,54.099998,61.799999,48.501015,159916300
2006-02-01,61.709999,62.549999,52.349998,52.919998,41.531929,136871700
2006-03-01,53.279999,54.869999,46.599998,51.889999,40.723587,177567300
2006-04-01,52.310001,58.930000,50.639999,58.360001,45.887424,145809200
2006-05-01,59.220001,59.700001,48.389999,52.150002,41.004623,195807200
2006-06-01,51.009998,54.799999,47.340000,52.930000,41.617912,164049000
2006-07-01,54.470001,56.500000,49.529999,51.230000,40.357979,119644800
2006-08-01,51.250000,53.830002,49.759998,51.250000,40.373745,118321800
2006-09-01,51.000000,52.650002,41.750000,42.750000,33.677605,171628400
2006-10-01,42.759998,45.500000,39.840000,45.270000,35.732601,159419200
2006-11-01,46.250000,47.250000,43.799999,46.910000,37.027100,148892100
2006-12-01,46.919998,47.799999,44.759998,45.150002,35.637875,110526100
2007-01-01,45.500000,45.669998,41.910000,45.099998,35.673836,126668400
2007-02-01,45.849998,48.330002,43.790001,45.099998,35.673836,124729900
2007-03-01,44.160000,45.090000,40.529999,41.990002,33.213856,174117500
2007-04-01,41.919998,45.250000,41.509998,41.700001,33.061134,122331100
2007-05-01,41.529999,42.349998,38.639999,40.680000,32.252457,192475500
2007-06-01,41.200001,41.799999,38.080002,39.060001,30.968052,127611100
2007-07-01,39.340000,44.049999,39.270000,41.750000,33.180866,222052200
2007-08-01,41.680000,42.740002,38.009998,42.259998,33.586201,216548100
2007-09-01,42.279999,48.419998,41.930000,44.730000,35.549221,197421700
2007-10-01,44.950001,51.000000,44.250000,50.900002,40.548798,186829400
2007-11-01,50.020000,56.349998,48.250000,49.689999,39.584858,213488200
2007-12-01,49.889999,51.340000,46.250000,48.830002,38.899742,106576000
2008-01-01,49.740002,57.549999,48.590000,54.250000,43.304749,254145700
2008-02-01,54.849998,55.560001,47.599998,51.169998,40.846146,163880500
2008-03-01,51.770000,55.150002,44.740002,45.299999,36.160454,176519200
2008-04-01,44.490002,48.060001,42.639999,44.209999,35.360813,139388100
2008-05-01,43.230000,50.889999,42.360001,47.529999,38.016270,130678700
2008-06-01,47.180000,53.240002,45.889999,52.160000,41.719498,127826500
2008-07-01,52.990002,53.770000,46.259998,47.959999,38.442009,180673600
2008-08-01,47.639999,49.189999,40.779999,45.099998,36.149586,155921000
2008-09-01,42.830002,44.889999,35.790001,38.759998,31.067801,236282800
2008-10-01,38.740002,40.000000,21.400000,26.340000,21.161936,259402400
2008-11-01,26.240000,33.730000,21.170000,33.650002,27.034897,177716800
2008-12-01,31.500000,41.790001,26.799999,40.700001,32.698948,184000100
